Date,Adj Close
2016-02-29,3.44
2016-03-01,3.47
2016-03-02,3.75
2016-03-03,4
2016-03-04,3.82
2016-03-07,3.97
2016-03-08,3.98
2016-03-09,3.96
2016-03-10,3.73
2016-03-11,3.71
2016-03-14,3.72
2016-03-15,3.55
2016-03-16,3.57
2016-03-17,3.4
2016-03-18,3.26
2016-03-21,3.21
2016-03-22,3.37
2016-03-23,3.15
2016-03-24,3.26
2016-03-28,3.26
2016-03-29,3.42
2016-03-30,3.45
2016-03-31,3.48
2016-04-01,3.63
2016-04-04,3.44
2016-04-05,3.5
2016-04-06,3.59
2016-04-07,3.51
2016-04-08,3.5
2016-04-11,3.43
2016-04-12,3.49
2016-04-13,3.42
2016-04-14,3.5
2016-04-15,3.59
2016-04-18,3.56
2016-04-19,3.68
2016-04-20,3.8
2016-04-21,3.68
2016-04-22,3.74
2016-04-25,3.8
2016-04-26,3.68
2016-04-27,3.68
2016-04-28,3.58
2016-04-29,3.43
2016-05-02,3.49
2016-05-03,3.67
2016-05-04,3.47
2016-05-05,3.44
2016-05-06,3.54
2016-05-09,3.4
2016-05-10,3.5
2016-05-11,3.49
2016-05-12,3.49
2016-05-13,3.44
2016-05-16,3.43
2016-05-17,3.52
2016-05-18,3.58
2016-05-19,3.66
2016-05-20,3.59
2016-05-23,3.57
2016-05-24,3.51
2016-05-25,3.53
2016-05-26,3.61
2016-05-27,3.68
2016-05-31,3.8
2016-06-01,3.75
2016-06-02,3.77
2016-06-03,3.78
2016-06-06,3.84
2016-06-07,3.91
2016-06-08,3.82
2016-06-09,3.81
2016-06-10,3.71
2016-06-13,3.62
2016-06-14,3.68
2016-06-15,3.79
2016-06-16,3.71
2016-06-17,3.71
2016-06-20,3.86
2016-06-21,4.16
2016-06-22,4.38
2016-06-23,4.39
2016-06-24,4.12
2016-06-27,4.19
2016-06-28,4.33
2016-06-29,4.48
2016-06-30,4.53
2016-07-01,4.53
2016-07-05,4.49
2016-07-06,4.45
2016-07-07,4.54
2016-07-08,4.68
2016-07-11,4.87
2016-07-12,4.82
2016-07-13,4.89
2016-07-14,5.01
2016-07-15,5
2016-07-18,4.75
2016-07-19,4.52
2016-07-20,4.52
2016-07-21,4.6
2016-07-22,4.62
2016-07-25,5.9
2016-07-26,6.25
2016-07-27,5.79
2016-07-28,6
2016-07-29,6.14
2016-08-01,6.12
2016-08-02,5.96
2016-08-03,6.09
2016-08-04,6.22
2016-08-05,6.17
2016-08-08,6.22
2016-08-09,6.18
2016-08-10,6.16
2016-08-11,6.1
2016-08-12,6.09
2016-08-15,6.15
2016-08-16,6.05
2016-08-17,6.01
2016-08-18,6.02
2016-08-19,5.93
2016-08-22,6.04
2016-08-23,6.12
2016-08-24,6.09
2016-08-25,6.18
2016-08-26,6.14
2016-08-29,6.23
2016-08-30,6.14
2016-08-31,6.18
2016-09-01,6.2
2016-09-02,6.42
2016-09-06,6.34
2016-09-07,6.63
2016-09-08,6.8
2016-09-09,6.65
2016-09-12,6.92
2016-09-13,6.56
2016-09-14,6.51
2016-09-15,6.79
2016-09-16,6.65
2016-09-19,6.65
2016-09-20,6.21
2016-09-21,6.36
2016-09-22,6.62
2016-09-23,6.64
2016-09-26,6.65
2016-09-27,6.73
2016-09-28,6.78
2016-09-29,6.66
2016-09-30,6.63
2016-10-03,6.57
2016-10-04,6.7
2016-10-05,6.66
2016-10-06,6.53
2016-10-07,6.48
2016-10-10,6.73
2016-10-11,6.78
2016-10-12,6.78
2016-10-13,6.77
2016-10-14,7.03
2016-10-17,6.92
2016-10-18,6.86
2016-10-19,6.88
2016-10-20,6.72
2016-10-21,6.55
2016-10-24,6.92
2016-10-25,6.5
2016-10-26,6.36
2016-10-27,6.29
2016-10-28,6.31
2016-10-31,6.16
2016-11-01,6.17
2016-11-02,5.95
2016-11-03,6.07
2016-11-04,6.13
2016-11-07,6.18
2016-11-08,6.27
2016-11-09,7.11
2016-11-10,7.08
2016-11-11,7.09
2016-11-14,7.5
2016-11-15,7.74
2016-11-16,7.68
2016-11-17,7.49
2016-11-18,7.35
2016-11-21,7.45
2016-11-22,7.65
